Fecha,Servicio,Instalacion,Usos
"2017-01-01","010","Cursos","5"
"2017-01-01","010","Cursos Munipales","13"
"2017-01-01","010","Informacion Personal","777"
"2017-01-01","010","Instalaciones Deportivas","5"
"2017-01-01","Apertura contenedores orgánicos","Montevil/Nuevo Roces","133"
"2017-01-01","Apertura contenedores orgánicos","Nuevo Gijón","392"
"2017-01-01","Apertura contenedores orgánicos","Polígono","5746"
"2017-01-01","Apertura contenedores orgánicos","Viesques","130"
"2017-01-01","Aseos públicos","Avda Carlos Marx","1280"
"2017-01-01","Aseos públicos","Avda del Llano","1082"
"2017-01-01","Aseos públicos","C/ Puerto el Pontón","666"
"2017-01-01","Aseos públicos","Cerro Santa Catalina","194"
"2017-01-01","Aseos públicos","Donato Argüelles","2172"
"2017-01-01","Aseos públicos","El Rinconín","1626"
"2017-01-01","Aseos públicos","Jardines de la Reina","1380"
"2017-01-01","Aseos públicos","Molinón-Piles","1342"
"2017-01-01","Aseos públicos","Parque de las Palmeras","222"
"2017-01-01","Aseos públicos","Parque del Cabo San Lorenzo","672"
"2017-01-01","Aseos públicos","Paseo de Begoña","756"
"2017-01-01","Aseos públicos","Paseo del Muro, Escalera 11","4598"
"2017-01-01","Aseos públicos","Paseo del Muro, escalera 3","4332"
"2017-01-01","Aseos públicos","Paseo del Muro, tostadero","5218"
"2017-01-01","Aseos públicos","Playa de Poniente","3294"
"2017-01-01","Aseos públicos","Playa del Arbeyal","1046"
"2017-01-01","Aseos públicos","Plaza Cataluña","1438"
"2017-01-01","Aseos públicos","Plaza San Miguel","1580"
"2017-01-01","Gijón Bici","Gijón Bici","965"
"2017-01-01","Inscripciones","Cursos","8200"
"2017-01-01","Préstamos bibliotecas","Adultos","14218"
"2017-01-01","Préstamos bibliotecas","Infantiles","6476"
"2017-01-01","Reserva de instalaciones","Antigua Pescadería","55"
"2017-01-01","Reserva de instalaciones","Casa Consistorial","37"
"2017-01-01","Reserva de instalaciones","Centro de Cultura Antiguo Instituto","39"
"2017-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","220"
"2017-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","3503"
"2017-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","23"
"2017-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","2685"
"2017-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","3427"
"2017-01-01","Reserva de instalaciones","Edificio Pelayo","1"
"2017-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","248"
"2017-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","342"
"2017-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","34"
"2017-01-01","Reserva de instalaciones","Pabellón de La Tejerona","444"
"2017-01-01","Reserva de instalaciones","Palacio de Deportes","224"
"2017-01-01","Reserva de instalaciones","Piscina Municipal El Coto","3692"
"2017-01-01","Reserva de instalaciones","Piscina Municipal El Llano","3552"
"2017-01-01","Reserva de instalaciones","Piscina Municipal La Camocha","1254"
"2017-01-01","Transporte","Tarjeta ciudadana","991928"
"2017-01-01","Transporte","Tarjeta transporte","139173"
"2017-02-01","010","Cursos","4"
"2017-02-01","010","Cursos Munipales","9"
"2017-02-01","010","Informacion Personal","816"
"2017-02-01","010","Instalaciones Deportivas","11"
"2017-02-01","010","Renovacion Cursos","2"
"2017-02-01","Apertura contenedores orgánicos","Montevil/Nuevo Roces","150"
"2017-02-01","Apertura contenedores orgánicos","Nuevo Gijón","324"
"2017-02-01","Apertura contenedores orgánicos","Polígono","5231"
"2017-02-01","Apertura contenedores orgánicos","Viesques","124"
"2017-02-01","Aseos públicos","Avda Carlos Marx","1468"
"2017-02-01","Aseos públicos","Avda del Llano","1106"
"2017-02-01","Aseos públicos","C/ Puerto el Pontón","168"
"2017-02-01","Aseos públicos","Cerro Santa Catalina","188"
"2017-02-01","Aseos públicos","Donato Argüelles","2316"
"2017-02-01","Aseos públicos","El Rinconín","1330"
"2017-02-01","Aseos públicos","Jardines de la Reina","2542"
