Fecha,Servicio,Instalacion,Usos
"2006-01-01","Cimadevilla Centro Control","Campo Valdés","409"
"2006-01-01","Cimadevilla Centro Control","Fermín García Bernardo","365"
"2006-01-01","Cimadevilla con Tarjeta","Campo Valdés","2498"
"2006-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","3086"
"2006-01-01","Cimadevilla Taxi","Campo Valdés","374"
"2006-01-01","Cimadevilla Taxi","Fermín García Bernardo","529"
"2006-01-01","Gijón Bici","Gijón Bici","1232"
"2006-01-01","Mediatecas","Adultos","10012"
"2006-01-01","Mediatecas","Infantiles","868"
"2006-01-01","ORA","ORA","14210"
"2006-01-01","Piscinas","Piscina Coto Control","12412"
"2006-01-01","Piscinas","Piscina La Calzada Control","4810"
"2006-01-01","Piscinas","Piscina Llano Control","7889"
"2006-01-01","Piscinas","Piscina Moreda Control","4121"
"2006-01-01","Piscinas","Piscina Panchano Control","2330"
"2006-01-01","Piscinas","Piscina Pumarin Control","5112"
"2006-01-01","Préstamos bibliotecas","Adultos","17165"
"2006-01-01","Préstamos bibliotecas","Infantiles","3524"
"2006-01-01","Transporte","Tarjeta Turística","10"
"2006-01-01","Transporte","TC-Abono Mes","29681"
"2006-01-01","Transporte","TC-Abono Mes Mayores de 65","3802"
"2006-01-01","Transporte","TC-Abono Mes Menores de 26","18685"
"2006-01-01","Transporte","TC-Tarifa Empleado","2632"
"2006-01-01","Transporte","TC-Tarifa Empleado Emtusa","252"
"2006-01-01","Transporte","TC-Tarifa Familiar Emtusa","7130"
"2006-01-01","Transporte","TC-Tarifa Gratuita","16016"
"2006-01-01","Transporte","TC-Tarifa IES","2598"
"2006-01-01","Transporte","TC-Tarifa JOP","789"
"2006-01-01","Transporte","TC-Tarifa Mayores de 65","107005"
"2006-01-01","Transporte","TC-Tarifa Menores de 26","142602"
"2006-01-01","Transporte","TC-Tarifa Normal","193575"
"2006-01-01","Transporte","TC-Tarifa Reducida","20806"
"2006-01-01","Transporte","TT-Tarifa Normal","377662"
"2006-02-01","Cimadevilla Centro Control","Campo Valdés","373"
"2006-02-01","Cimadevilla Centro Control","Fermín García Bernardo","309"
"2006-02-01","Cimadevilla con Tarjeta","Campo Valdés","2244"
"2006-02-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2430"
"2006-02-01","Cimadevilla Taxi","Campo Valdés","294"
"2006-02-01","Cimadevilla Taxi","Fermín García Bernardo","516"
"2006-02-01","Gijón Bici","Gijón Bici","1748"
"2006-02-01","Mediatecas","Adultos","9230"
"2006-02-01","Mediatecas","Infantiles","747"
"2006-02-01","ORA","ORA","14210"
"2006-02-01","Piscinas","Piscina Coto Control","5686"
"2006-02-01","Piscinas","Piscina La Calzada Control","3619"
"2006-02-01","Piscinas","Piscina Llano Control","6751"
"2006-02-01","Piscinas","Piscina Moreda Control","3259"
