Fecha,Servicio,Instalacion,Usos
"2008-01-01","Bibliotecas Principado","Jovellanos","207"
"2008-01-01","Bibliotecas Principado","Jovellanos Infantil","202"
"2008-01-01","Cimadevilla Centro Control","Campo Valdés","285"
"2008-01-01","Cimadevilla Centro Control","Fermín García Bernardo","320"
"2008-01-01","Cimadevilla con Tarjeta","Campo Valdés","1948"
"2008-01-01","Cimadevilla con Tarjeta","Fermín García Bernardo","2676"
"2008-01-01","Cimadevilla Taxi","Campo Valdés","273"
"2008-01-01","Cimadevilla Taxi","Fermín García Bernardo","425"
"2008-01-01","Gijón Bici","Gijón Bici","2034"
"2008-01-01","Instalaciones Deportivas","Instalaciones Deportivas","7341"
"2008-01-01","Mediatecas","Adultos","9891"
"2008-01-01","Mediatecas","Infantiles","546"
"2008-01-01","OIJ","Oficina Informacion Juvenil","1062"
"2008-01-01","ORA","ORA","19357"
"2008-01-01","Piscinas","Piscina Coto Control","6758"
"2008-01-01","Piscinas","Piscina La Calzada Control","4110"
"2008-01-01","Piscinas","Piscina Llano Control","7730"
"2008-01-01","Piscinas","Piscina Moreda Control","4559"
"2008-01-01","Piscinas","Piscina Panchano Control","2673"
"2008-01-01","Piscinas","Piscina Pumarin Control","5365"
"2008-01-01","Préstamos bibliotecas","Adultos","21317"
"2008-01-01","Préstamos bibliotecas","Infantiles","4103"
"2008-01-01","Reserva de instalaciones","Antigua Pescadería","37"
"2008-01-01","Reserva de instalaciones","Casa Consistorial","17"
"2008-01-01","Reserva de instalaciones","Complejo Deportivo El Llano - Contrueces","466"
"2008-01-01","Reserva de instalaciones","Complejo Deportivo La Calzada","1982"
"2008-01-01","Reserva de instalaciones","Complejo Deportivo Las Mestas","2"
"2008-01-01","Reserva de instalaciones","Complejo Deportivo Moreda - Natahoyo","991"
"2008-01-01","Reserva de instalaciones","Complejo Deportivo Pumarín - Gijón Sur","1351"
"2008-01-01","Reserva de instalaciones","Gimnasios de El Molinón","13"
"2008-01-01","Reserva de instalaciones","Pabellón de Deportes La Arena","152"
"2008-01-01","Reserva de instalaciones","Pabellón de Deportes Mata Jove","113"
"2008-01-01","Reserva de instalaciones","Pabellón de Deportes Perchera - La Braña","48"
"2008-01-01","Reserva de instalaciones","Palacio de Deportes","340"
"2008-01-01","Reserva de instalaciones","Piscina Municipal Centro Panchano","138"
"2008-01-01","Reserva de instalaciones","Piscina Municipal El Coto","1210"
"2008-01-01","Reserva de instalaciones","Piscina Municipal El Llano","481"
"2008-01-01","Transporte","Tarjeta Turística","6"
"2008-01-01","Transporte","TC-Abono Anual","6137"
"2008-01-01","Transporte","TC-Abono Mes","113259"
"2008-01-01","Transporte","TC-Abono Mes Mayores de 65","12223"
"2008-01-01","Transporte","TC-Abono Mes Menores de 26","48933"
"2008-01-01","Transporte","TC-Abono Semestral","5124"
"2008-01-01","Transporte","TC-Tarifa Empleado","2730"
"2008-01-01","Transporte","TC-Tarifa Empleado Emtusa","683"
"2008-01-01","Transporte","TC-Tarifa Familiar Emtusa","9721"
"2008-01-01","Transporte","TC-Tarifa Gratuita","23352"
"2008-01-01","Transporte","TC-Tarifa IES","2891"
"2008-01-01","Transporte","TC-Tarifa JOP","940"
"2008-01-01","Transporte","TC-Tarifa Mayores de 65","148502"
